x,entries
-0.38,1
-0.32,1
-0.31,1
-0.2,1
-0.12,2
-0.1,2
-0.09,1
-0.06,1
-0.04,4
0.0,1
0.01,3
0.02,1
0.05,1
0.06,6
0.09,2
0.1,1
0.13,2
0.15,2
0.16,1
0.17,4
0.18,3
0.19,3
0.2,1
0.21,2
0.22,1
0.23,7
0.24,4
0.25,2
0.26,6
0.27,3
0.28,3
0.29,9
0.3,4
0.31,3
0.32,7
0.33,4
0.34,4
0.35,3
0.36,5
0.37,8
0.38,12
0.39,4
0.4,12
0.41,3
0.42,9
0.43,4
0.44,2
0.45,4
0.46,5
0.47,5
0.48,8
0.49,3
0.5,3
0.51,13
0.52,10
0.53,5
0.54,8
0.55,8
0.56,6
0.57,11
0.58,9
0.59,10
0.6,8
0.61,19
0.62,6
0.63,12
0.64,17
0.65,8
0.66,8
0.67,6
0.68,13
0.69,19
0.7,14
0.71,14
0.72,11
0.73,13
0.74,17
0.75,13
0.76,7
0.77,11
0.78,8
0.79,10
0.8,14
0.81,8
0.82,6
0.83,11
0.84,10
0.85,9
0.86,9
0.87,10
0.88,9
0.89,15
0.9,9
0.91,9
0.92,10
0.93,9
0.94,9
0.95,9
0.96,7
0.97,16
0.98,13
0.99,7
1.0,8
1.01,5
1.02,8
1.03,10
1.04,11
1.05,7
1.06,7
1.07,9
1.08,7
1.09,4
1.1,10
1.11,5
1.12,3
1.13,4
1.14,4
1.15,6
1.16,5
1.17,4
1.18,6
1.19,7
1.2,6
1.21,6
1.22,5
1.23,5
1.24,4
1.25,8
1.26,4
1.27,11
1.28,6
1.29,4
1.3,5
1.31,8
1.32,1
1.33,4
1.34,4
1.35,6
1.36,3
1.37,1
1.38,5
1.39,1
1.4,6
1.41,1
1.43,5
1.44,2
1.45,3
1.46,2
1.47,2
1.49,3
1.5,4
1.51,3
1.53,2
1.54,2
1.55,3
1.56,2
1.57,2
1.59,3
1.64,1
1.65,1
1.66,2
1.67,1
1.68,1
1.7,1
1.71,1
1.72,1
1.73,2
1.77,1
1.78,2
1.79,2
1.8,1
1.81,1
1.85,1
1.97,1
2.09,1
